,Dataset,Model,Feature_selector,Validation_metrics_100,Validation_metrics_20,Delta_metrics_20_-_metrics_100
0,1. shortDT (ji),Random forest,chi2,,,
1,1. shortDT (ji),SVM,chi2,,,
2,1. shortDT (ji),LogReg,chi2,,,
3,1. shortDT (ji),Perceptron,chi2,,,
4,1. shortDT (ji),DecisionTree,chi2,,,
5,1. shortDT (ji),GradientBoosting,chi2,,,
6,1. shortDT (ji),AdaptiveBoosting,chi2,,,
7,1. shortDT (ji),Random forest,mutual information,,,
8,1. shortDT (ji),SVM,mutual information,,,
9,1. shortDT (ji),LogReg,mutual information,,,
10,1. shortDT (ji),Perceptron,mutual information,,,
11,1. shortDT (ji),DecisionTree,mutual information,,,
12,1. shortDT (ji),GradientBoosting,mutual information,,,
13,1. shortDT (ji),AdaptiveBoosting,mutual information,,,
14,1. shortDT (ji),Random forest,ANOVA,,,
15,1. shortDT (ji),SVM,ANOVA,,,
16,1. shortDT (ji),LogReg,ANOVA,,,
17,1. shortDT (ji),Perceptron,ANOVA,,,
18,1. shortDT (ji),DecisionTree,ANOVA,,,
19,1. shortDT (ji),GradientBoosting,ANOVA,,,
20,1. shortDT (ji),AdaptiveBoosting,ANOVA,,,
21,1. shortDT (ji),Random forest,PCA,0.56,0.54,-0.02
22,1. shortDT (ji),SVM,PCA,0.62,0.55,-0.07
23,1. shortDT (ji),LogReg,PCA,0.6,0.55,-0.05
24,1. shortDT (ji),Perceptron,PCA,0.57,0.51,-0.06
25,1. shortDT (ji),DecisionTree,PCA,0.53,0.51,-0.02
26,1. shortDT (ji),GradientBoosting,PCA,0.59,0.54,-0.05
27,1. shortDT (ji),AdaptiveBoosting,PCA,0.6,0.55,-0.05
28,1. shortDT (ji),Random forest,FA,0.6,0.59,-0.01
29,1. shortDT (ji),SVM,FA,0.66,0.64,-0.02
30,1. shortDT (ji),LogReg,FA,0.66,0.63,-0.03
31,1. shortDT (ji),Perceptron,FA,0.56,0.53,-0.03
32,1. shortDT (ji),DecisionTree,FA,0.53,0.55,0.02
33,1. shortDT (ji),GradientBoosting,FA,0.62,0.61,-0.01
34,1. shortDT (ji),AdaptiveBoosting,FA,0.63,0.63,0
0,1. shortDT (cc),Random forest,chi2,,,
1,1. shortDT (cc),SVM,chi2,,,
2,1. shortDT (cc),LogReg,chi2,,,
3,1. shortDT (cc),Perceptron,chi2,,,
4,1. shortDT (cc),DecisionTree,chi2,,,
5,1. shortDT (cc),GradientBoosting,chi2,,,
6,1. shortDT (cc),AdaptiveBoosting,chi2,,,
7,1. shortDT (cc),Random forest,mutual information,,,
8,1. shortDT (cc),SVM,mutual information,,,
9,1. shortDT (cc),LogReg,mutual information,,,
10,1. shortDT (cc),Perceptron,mutual information,,,
11,1. shortDT (cc),DecisionTree,mutual information,,,
12,1. shortDT (cc),GradientBoosting,mutual information,,,
13,1. shortDT (cc),AdaptiveBoosting,mutual information,,,
14,1. shortDT (cc),Random forest,ANOVA,,,
15,1. shortDT (cc),SVM,ANOVA,,,
16,1. shortDT (cc),LogReg,ANOVA,,,
17,1. shortDT (cc),Perceptron,ANOVA,,,
18,1. shortDT (cc),DecisionTree,ANOVA,,,
19,1. shortDT (cc),GradientBoosting,ANOVA,,,
20,1. shortDT (cc),AdaptiveBoosting,ANOVA,,,
21,1. shortDT (cc),Random forest,PCA,0.92,0.83,-0.09
22,1. shortDT (cc),SVM,PCA,0.88,0.82,-0.06
23,1. shortDT (cc),LogReg,PCA,0.88,0.82,-0.06
24,1. shortDT (cc),Perceptron,PCA,0.85,0.63,-0.22
25,1. shortDT (cc),DecisionTree,PCA,0.87,0.83,-0.04
26,1. shortDT (cc),GradientBoosting,PCA,0.9,0.84,-0.06
27,1. shortDT (cc),AdaptiveBoosting,PCA,0.89,0.82,-0.07
28,1. shortDT (cc),Random forest,FA,0.92,0.89,-0.03
29,1. shortDT (cc),SVM,FA,0.89,0.85,-0.04
30,1. shortDT (cc),LogReg,FA,0.88,0.83,-0.05
31,1. shortDT (cc),Perceptron,FA,0.84,0.81,-0.03
32,1. shortDT (cc),DecisionTree,FA,0.89,0.88,-0.01
33,1. shortDT (cc),GradientBoosting,FA,0.92,0.89,-0.03
34,1. shortDT (cc),AdaptiveBoosting,FA,0.89,0.88,-0.01
0,2. PRMQ,Random forest,chi2,0.92,0.884444444,-0.035555555
1,2. PRMQ,SVM,chi2,0.888888889,0.884444444,-0.004444444
2,2. PRMQ,LogReg,chi2,0.884444444,0.884444444,0
3,2. PRMQ,Perceptron,chi2,0.866666667,0.804444444,-0.062222222
4,2. PRMQ,DecisionTree,chi2,0.888888889,0.862222222,-0.026666667
5,2. PRMQ,GradientBoosting,chi2,0.92,0.88,-0.04
6,2. PRMQ,AdaptiveBoosting,chi2,0.893333333,0.88,-0.013333333
7,2. PRMQ,Random forest,mutual information,0.92,0.88,-0.04
8,2. PRMQ,SVM,mutual information,0.888888889,0.88,-0.008888889
9,2. PRMQ,LogReg,mutual information,0.884444444,0.884444444,0
10,2. PRMQ,Perceptron,mutual information,0.866666667,0.848888889,-0.017777778
11,2. PRMQ,DecisionTree,mutual information,0.888888889,0.897777778,0.008888889
12,2. PRMQ,GradientBoosting,mutual information,0.92,0.884444444,-0.035555556
13,2. PRMQ,AdaptiveBoosting,mutual information,0.893333333,0.888888889,-0.004444444
14,2. PRMQ,Random forest,ANOVA,0.92,0.884444444,-0.035555556
15,2. PRMQ,SVM,ANOVA,0.888888889,0.884444444,-0.004444444
16,2. PRMQ,LogReg,ANOVA,0.884444444,0.884444444,0
17,2. PRMQ,Perceptron,ANOVA,0.866666667,0.804444444,-0.062222222
18,2. PRMQ,DecisionTree,ANOVA,0.888888889,0.862222222,-0.026666667
